"SongID","F0525","F1152","ORIGINAL-TEXTURE-Musical Layers (Mean)","F1166","F0133","F0136","F0507","ORIGINAL-TEXTURE-Musical Layers (Std)","F0404","ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Mean)","F0945","F1151","F1497","F0529","ORIGINAL-TEXTURE-State Transitions ML1 -> ML0 (Per Sec)","F0151","F1194","F0121","F0927","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Extent (Std)","ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Higher Notes Coverage (C4+)","F0438","F1489","F0247","F0021","F0246","F1089","F0469","ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Max)","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Rate (Kurtosis)","F0772","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Kurtosis)","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato to Non Vibrato Notes Ratio","F0909","F1071","F0466","F1077","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Min)","F0010","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Length (Kurtosis)","F0437","F0013","F0526","VOICE-TEXTURE-State Transitions ML0 -> ML1 (Per Sec)","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Rate (Std)","F0778","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Std)","F0109","F1550","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Extent (Kurtosis)","ORIGINAL-TEXTURE-Musical Layers (Max)","F1065","ORIGINAL-TEXTURE-ML1-Monophonic Texture (Percentage)","F0946","F1475","F0113","F0753","F1053","F0407","F1059","F0110","ORIGINAL-TEXTURE-State Transitions ML2 -> ML3 (Per Sec)","F0770","F1441","ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Direction (Up)","F0958","F0911","F0406","F0917","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Length (Skewness)","ORIGINAL-EXPRESSIVE_TECHNIQUES-ART-Other Notes Duration (Mean)","F0155","F0891","ORIGINAL-TEXTURE-State Transitions ML1 -> ML2 (Per Sec)","F1537","ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Extent (Std)","F0116","F1483","F1096","F0776","ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Min)","F1419","F1090","F1486","F1469","ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Higher Notes Coverage (C4+)","F1455","ORIGINAL-VAT-Probability of Creaky Voice (Skewness)","F0897","F0251","F1574","F0011","F0905","F0899","ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Length (Std)","F0328","F1101","F0782","F0923","ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Slope (Std)","Quadrant"
"MT0004093767",7.6197,7.6266,4.2485,109080,0.86042,5.4101,0.072993,1.4322,0.080737,5371.7,0.45477,8.5587,2.2327,11.194,0.033256,0.058939,9.2575,470.14,0.30528,18.46,0.32358,1.0274,0.24361,0.047506,0.80262,0.33003,5.0557,0.47761,6606.6,1.2705,0.069994,1.6431,0.12195,0.23298,5.3245,0.11509,7.2179,5897,113.75,2.7535,5.9333,1149.4,1.2393,0.89832,1.199,0.08295,517.52,0.075752,0.32759,1.8785,9,4.7677,0.019498,0.17982,0.10366,0.052675,0.14646,5.3492,1.0098,4.2189,1.4183,0.93117,0.26846,-0.028374,0.5,0.13459,0.93017,2.7503,0.47902,1.0033,0.59907,0.4764,0.42952,0.26605,2.4816e-05,67.727,2.7855,0.59524,2.8955,0.36232,4395.2,0.17052,2.4231,1.7246,-0.57837,1,-0.4198,-0.71836,0.40312,0.23176,-0.4671,1.8798,0.46332,0.22445,0.14015,0.72588,4.8768,0.54532,0.59586,216.37,"Q4"
"MT0004122617",3.7544,30.047,2.1268,1485400,0.6978,3.3716,0.22448,1.0559,0.19249,4622.8,0.3138,28.379,0.3106,8.4139,0.53209,0.060685,3.4545,1014.8,0.33409,14.201,0.31634,0.93646,0.14785,0.071721,3.3443,0.38899,6.8903,0.44565,5382.4,1.9485,0.079578,1.6521,0.19231,0.45039,5.0445,0.063352,5.0359,3938.6,139.91,3.871,5.0631,1078.6,1.6349,1.9297,0.91526,0.072775,491.25,0.15064,0.25888,1.5964,6,4.5737,0.24479,0.18158,0.092202,0.14099,0.17235,3.4468,1.3268,3.8552,0.38026,2.6272,0.32065,-1.0441,0.38462,0.18116,-0.0099792,3.2631,0.1286,1.4258,0.28481,0.6153,0.42978,2.3279,0.0030247,99.686,0.37923,2.1291,3.3119,0.37313,3985.5,0.2841,3.0657,1.3191,-1.0182,0.32203,-0.36485,-0.13598,0.48993,0.14429,-0.93749,1.4183,0.11523,-0.17915,0.054977,0.76593,6.7243,0.57534,0.35561,1275.4,"Q1"
"MT0004131058",4.892,17.56,2.5492,541050,0.46075,3.8083,0.13613,1.2789,0.069608,5110.7,0.35337,13.983,1.2016,8.2382,0.43233,0.044054,3.9517,397.8,0.30108,16.797,0.26807,1.0637,0.25862,0.063406,2.4413,0.37151,5.894,0.32575,5594.6,2.8553,0.052607,3.3648,0.18519,0.35751,5.3837,0.055467,5.544,4598.3,227.81,6.9112,7.44,1810.3,1.4083,0.83178,0.80606,0.061298,316.86,0.11388,0.26061,2.5709,6,4.8252,0.17355,0.20137,0.084509,0.089291,0.17868,4.0646,1.0304,4.2892,0.70149,2.1616,0.31688,-0.73932,0.57143,0.20134,0.6614,3.0659,0.77093,2.3184,0.52894,0.62237,0.49252,1.0974,0.0072336,311.66,1.1553,1.4128,2.9932,0.45721,4277.8,0.22222,2.7938,2.6157,-1.314,0.68977,-1.8208,-0.16658,0.42726,0.2102,-0.8294,1.0883,0.5233,0.25125,0.09276,0.72926,6.2858,0.61721,0.97383,1300.2,"Q3"
"MT0004141823",2.1272,25.239,1.377,3463700,0.36494,2.1843,0.35468,0.88176,0.1822,6074,0.44451,23.916,1.6364,6.0466,1.2305,0.043457,2.0696,607.26,0.43678,20.293,0.48782,0.43256,0.11691,0.037791,2.5751,0.45459,5.2137,0.2124,7124.2,1.0974,0.05704,2.1564,0.15385,0.49767,4.4425,0.038988,4.3763,5004.8,223.61,1.2968,5.555,2768.1,1.0979,1.6968,1.377,0.039916,185.3,0.10469,0.20607,1.9035,4,3.9811,0.41873,0.19062,0.093885,0.26736,0.21564,3.2018,1.0106,3.5135,-0.67082,1.297,0.3639,-0.39169,0.75,0.16819,-0.12716,4.3206,-0.091992,0.22706,0.27231,0.7024,0.48786,2.1616,0.0069113,63.924,1.1818,2.3361,2.4053,0.46308,5050.7,0.22746,2.5078,1.4684,-0.9378,1,-1.9523,-0.71548,0.47102,0.25569,-0.60166,4.4398,-0.26208,-0.014193,0.048885,0.661,5.4563,0.73491,-0.077572,526.58,"Q1"
"MT0004232099",5.9889,8.8064,2.4905,283310,0.65851,4.0028,0.10217,1.1891,0.087735,5004.9,0.33174,14.004,1.6715,9.6323,0.13302,0.061667,5.6188,644.81,0.35525,17.485,0.39641,1.0688,0.19197,0.0501,1.9397,0.3184,6.2706,0.60704,5655.5,2.3612,0.055906,1.6885,0.34091,0.37227,5.1389,0.089963,5.0137,4071.5,82.238,2.0362,5.5915,555.43,1.4526,0.73197,0.75175,0.049316,540.02,0.12088,0.3549,2.0382,7,4.596,0.21815,0.17062,0.084999,0.10793,0.15232,3.925,1.0009,3.9984,1.1326,1.164,0.27607,-0.1212,0.44444,0.16293,0.34042,2.1887,0.29508,0.76579,0.96508,0.58968,0.37073,1.1972,0,201.68,1.5415,1.7122,3.1539,0.40353,4330.7,0.17759,2.5319,1.3458,-0.17978,0.48464,0.042514,0.56269,0.38412,0.19561,-0.89158,0.68103,0.3921,0.45826,0.12184,0.88456,7.0575,0.66248,0.33978,1266.5,"Q3"
"MT0004263956",4.4307,7.9512,1.7757,392160,0.69336,3.9603,0.13019,1.2741,0.11743,4933,0.43952,9.083,7.1152,9.6352,0.66512,0.073518,4.5416,691.33,0.34712,11.565,0.24385,1.3539,0.27528,0.072997,0.90295,0.3271,5.2275,0.49694,6491.4,1.9559,0.068563,2.2088,0.14286,0.40645,5.2458,0.067884,5.366,3915.6,188.88,2.2327,7.0551,1394.9,2.0112,1.1645,1.0129,0.07573,1224.5,0.1822,0.35001,1.6765,6,4.8573,0.28494,0.20513,0.066946,0.096767,0.1618,3.8566,1.4728,3.9325,0.37532,1.297,0.29491,0.70203,0.3,0.19005,0.13423,4.4125,0.10266,1.0425,0.4128,0.5668,0.48936,1.6628,0.0001361,134.58,3.453,1.4555,3.1461,0.44263,3128.7,0.29259,2.7246,2.1314,-0.2028,0.59155,0.42055,-0.10721,0.46184,0.18004,0.43843,1.2709,0.098683,0.020523,0.11632,0.72442,6.2304,0.5838,0.36351,1522.9,"Q3"
"MT0004274911",5.502,24.48,2.0656,364390,0.81439,4.7244,0.08816,1.168,0.11139,4413.5,0.43628,27.059,1.392,9.829,0.76489,0.067589,7.581,775.83,0.46229,19.031,0.056866,0.78704,0.41112,0.045637,3.0433,0.43082,5.6131,0.41254,4995.4,1.1826,0.067555,3.4075,0.13043,0.49657,4.2195,0.093148,4.1613,4275.3,191.71,1.2739,5.2635,2471.5,1.6822,1.5305,1.4251,0.06718,648.33,0.13815,0.24396,2.7796,6,4.6973,0.25154,0.20256,0.082506,0.09201,0.13986,3.2045,1.5382,3.6473,0.89979,1.9288,0.28368,-0.34749,0.54545,0.16799,-0.099432,3.9537,-0.049087,0.12703,0.39522,0.60331,0.50034,1.7958,0.0044795,154.62,1.4057,1.5558,3.3819,0.42001,3600.6,0.2332,3.2949,2.3426,-0.79644,0.29779,-0.17566,-0.29233,0.45993,0.23225,-0.6095,5.944,-0.032256,0.14841,0.09246,0.83161,5.6555,0.60771,0.028365,1511.8,"Q4"
"MT0004287283",5.3967,12.975,2.1026,436190,0.95965,6.6538,0.12547,1.1593,0.075155,4774.6,0.22765,4.9417,1.1078,10.196,0.56776,0.063976,2.9212,485.52,0.28128,24.007,0.32072,1.1681,0.37196,0.067334,2.9222,0.38904,7.7899,0.47325,5220.3,1.5217,0.052651,2.243,0.1194,0.35653,5.3546,0.058332,5.6301,3810.1,183.17,1.8229,5.4867,1670,1.8045,1.4694,1.3147,0.052778,551.52,0.15734,0.28559,3.2838,6,4.9467,0.32164,0.18591,0.071321,0.036868,0.16086,3.7987,1.4271,4.1921,0.26371,1.8035,0.225,-0.68094,0.61111,0.18816,0.46195,4.1124,0.46252,0.61422,0.55042,0.52904,0.42831,1.6699,0.0064757,176.15,0.72391,1.8241,3.6306,0.42376,3526.1,0.1793,3.5183,2.4457,-0.43715,0.26563,-0.45768,0.087252,0.35303,0.15022,-0.86244,2.6169,0.46581,0.50687,0.078463,0.81247,8.6731,0.56595,0.44787,1511.6,"Q3"
"MT0004290389",5.9274,13.713,3.2526,139570,0.85939,6.6885,0.064106,1.5107,0.10837,3852.1,0.38472,4.4943,1.9616,9.1584,0.26718,0.056496,7.9649,446.93,0.45814,20.349,0,0.89736,0.33417,0.057232,1.4779,0.40148,5.5431,0.53496,4398.7,2.1326,0.056117,2.207,0.14286,0.50975,4.1291,0.093587,4.374,4074.5,134.19,2.0381,6.1812,1394.9,1.2358,0.90168,0.96518,0.052452,580.94,0.091477,0.28384,1.2713,7,4.0048,0.11012,0.20531,0.10445,0.028038,0.12137,3.2463,0.95963,3.4797,1.7465,1.3693,0.18777,-0.41528,0.16667,0.19498,-0.088341,2.7077,-0.31406,-0.41185,0.52593,0.52095,0.58616,1.2357,0.00088342,144.57,1.7446,0.97941,3.0234,0.41531,3397,0.17091,2.5018,2.3685,-0.35036,0.21384,0.37486,-0.89471,0.56377,0.20795,-0.57705,2.2152,-0.24072,-0.12231,0.063422,0.77617,6.4276,0.42652,-0.10534,844.88,"Q3"
"MT0004293364",1.6597,30.882,1.4608,3056300,0.47161,2.425,0.42524,1.0288,0.28623,6369,0.41936,30.72,1.3906,6.5253,1.7313,0.061351,2.5508,762.86,0.4525,8.6435,0.46121,0.44081,0.16914,0.037527,2.545,0.45183,5.1079,0.3914,7800.1,1,0.058132,1,0.054054,0.42967,4.1349,0.05946,4.4674,4575.3,157.65,1,4.9174,1130.8,1.5755,2.1649,0.35687,0.052328,115.86,0.14295,0.17471,1,5,3.6468,0.43332,0.17355,0.093341,0.17473,0.19357,3.5653,1.4624,3.5903,-0.21963,1.0987,0.34593,-1.0768,0,0.14489,0.21565,3.5267,0.073383,0,0.19571,0.54171,0.53606,1.7313,0.0053041,133.8,1.8845,3.644,2.2194,0.54009,5704.9,0.2849,1.9796,1.422,-0.42755,0,-0.56653,-0.21429,0.51128,0.31821,-1.0928,1.276,0.13743,-0.011768,0.050607,0.55943,5.2087,0.76078,-0.040218,851.84,"Q2"
"MT0004316859",5.1584,10.516,1.938,296040,1.3588,7.9678,0.13113,0.91723,0.15135,5122.2,0.35081,9.1885,3.6902,11.573,0.23279,0.09285,5.75,1244.6,0.32399,9.0487,0.24512,2.2655,0.30621,0.091473,2.7088,0.3238,6.3167,0.48142,7332.7,1.9623,0.1041,4.1384,0.28571,0.29985,5.8713,0.078916,6.1554,4606.4,209.27,1.0643,7.3381,2893.8,2.7721,1.3308,0.91915,0.12183,1066.5,0.21295,0.32248,3.0015,5,4.5312,0.33514,0.20153,0.11934,0.027269,0.16498,3.9863,1.6223,4.653,0.83576,2.1949,0.26017,0.090913,0.85714,0.18962,0.68543,3.7334,0.64161,0.041634,1.1718,0.52927,0.42929,2.5607,0.0031395,77.686,1.8917,3.2963,3.7506,0.38787,3314.4,0.37241,3.3341,1.7469,0.031357,0.51602,0.22981,-0.22408,0.42709,0.13336,-0.3078,7.0855,0.15384,0.16702,0.12743,0.69873,6.3653,0.58696,0.22189,1114.2,"Q2"
"MT0004331116",7.7643,-1.4007,3.5952,100710,1.1152,6.2335,0.091063,1.4218,0.063298,5002.4,0.26009,-0.48275,2.6049,11.925,0.033256,0.05522,4.4528,572.01,0.2991,5.8654,0.29659,2.1609,0.25481,0.059942,0.96983,0.37219,7.1247,0.63415,5700.3,1.5988,0.083408,1.5303,0.15385,0.37051,5.5757,0.10154,5.5133,5309.8,96.755,3.3291,6.2735,753.54,2.2649,0.56561,1.3416,0.082085,501.4,0.11341,0.28357,2.0273,9,5.2616,0.062741,0.17828,0.093783,0.046715,0.14017,3.55,0.9453,4.1299,2.028,0.49884,0.27345,0.65224,0.5,0.19738,0.42764,2.9974,0.92994,1.2378,0.88284,0.52906,0.50818,0.26605,0.00063696,41.291,2.7779,1.0887,4.1164,0.41425,4106.3,0.23498,2.8325,1.5366,-0.33087,0.44909,1.5896,-1.0286,0.35451,0.22242,-0.10725,0.9959,0.30915,0.6008,0.19819,0.79349,7.9316,0.55486,0.84861,1494.9,"Q4"
"MT0004339430",4.671,17.799,1.6114,759900,0.65384,3.9794,0.18612,0.95957,0.1075,5910.8,0.3505,2.5286,1.1667,10.243,1.0309,0.037634,2.4433,474.62,0.42027,26.091,0.37464,1.1818,0.28247,0.054528,2.5416,0.43365,6.3284,0.49819,6487,1.8547,0.057873,2.2418,0.16667,0.4692,4.6635,0.059308,5.0644,5760.7,173.81,2.8192,5.6163,1207,1.9068,1.8965,0.48466,0.048677,252.58,0.1411,0.18809,1.6714,5,4.2451,0.44151,0.19562,0.095319,0.11016,0.1669,3.5031,1.4869,3.7065,0.34354,1.3967,0.29965,-0.31722,0.3,0.18584,-0.01074,4.1581,0.00077542,1.0802,0.30999,0.6341,0.56132,2.1284,0.011728,69.229,0.68082,1.4184,3.3184,0.45348,4703.8,0.2008,2.7747,1.7944,-1.0156,0.74176,0.046737,-2.3247,0.50368,0.19538,-0.51179,1.5755,-0.032115,-0.049631,0.074249,0.75085,7.6026,0.62027,-0.040346,703.33,"Q1"
"MT0004342301",5.7372,12.71,2.9885,296210,0.96884,6.0334,0.11604,1.1158,0.082785,5217,0.31532,4.4341,1.0557,10.46,0.10045,0.074633,3.9057,590.3,0.32247,17.686,0.21646,1.5275,0.16649,0.068285,1.6839,0.38404,6.4379,0.57571,5717.2,1.3774,0.073059,3.0602,0.22727,0.44319,5.4459,0.067984,4.8971,3279.8,135.98,2.8937,5.701,1042.9,1.966,1.2389,1.2343,0.057642,718.65,0.15086,0.37,2.5762,6,4.8676,0.05967,0.18351,0.094623,0.04837,0.14235,3.3366,1.2872,3.8752,0.79494,1.6406,0.29784,-0.02211,0.625,0.17772,0.27421,3.0772,0.27554,1.0801,0.77876,0.521,0.43243,0.63616,0.00034944,72.932,1.327,1.441,3.1506,0.35412,3751.5,0.20252,2.7962,1.504,0.2272,0.1446,0.83338,0.61442,0.49577,0.18831,-0.4805,1.3558,0.0013157,-0.010485,0.059504,0.79274,6.8611,0.49851,0.61523,988.88,"Q3"
"MT0004428604",3.9212,25.407,2.1278,933800,0.57758,3.7573,0.15183,1.0704,0.13374,5621,0.43555,26.718,1.0284,7.9491,0.59861,0.059465,4.7803,700.51,0.43514,12.451,0.44173,0.76155,0.25423,0.040172,4.1469,0.42997,5.1432,0.27585,6869.1,1.3609,0.051447,2.5949,0.125,0.46261,4.2487,0.073251,4.5611,4420.1,151.58,1.2494,5.1427,1783.6,1.2898,1.2976,1.0811,0.054887,606.18,0.12794,0.22347,1.8439,7,3.879,0.27394,0.16613,0.10518,0.11939,0.17023,3.4212,1.098,3.5841,0.33646,2.2281,0.35919,-0.060759,0.33333,0.16168,0.055599,3.1021,0.002454,0.11974,0.24381,0.64062,0.53146,2.2614,0.009087,90.865,0.92474,2.8671,2.6713,0.48319,4165,0.20527,2.2003,2.244,-0.95966,0.85027,-0.13468,-0.74919,0.51563,0.28205,-0.9452,4.1004,0.041181,-0.181,0.058723,0.65252,5.5303,0.68091,0.046133,1500.2,"Q1"
"MT0004447086",1.6129,36.822,0.93784,2387400,0.24218,1.6937,0.28803,0.71909,0.13009,6197.7,0.55677,31.751,-0.097601,4.7467,0.56535,0.03585,2.2219,504.06,0.55641,0,0.62269,0.57725,0.066284,0.019284,3.9462,0.45931,3.8696,0.14078,7686.7,0,0.041175,0,0,0.60364,3.415,0.045327,3.4954,0,81.678,0,4.9548,680.58,0.89718,1.1978,0,0.038337,0,0.079213,0.16975,0,3,3.217,0.52896,0.11374,0.14639,0.2843,0.21245,2.7465,0.69391,2.8527,-0.67803,0.23279,0.41007,-0.86731,0,0.1036,-0.30134,2.1471,-0.16668,0,0.14803,0.70615,0.64715,1.297,0.01992,0,0.67493,1.7877,1.3174,0.58141,5443.9,0.1518,1.1733,0.83834,-1.8911,0,-1.1555,-3.378,0.62869,0.39983,-0.93358,1.5433,-0.37573,-0.44666,0,0.41408,4.4236,0.70105,-0.20034,0,"Q2"
"MT0004447226",9.5569,-24.693,1.5142,130650,1.0413,6.5675,0.086562,0.94839,0.056318,6328.4,0.3316,-11.985,2.0623,13.842,1.2357,0.038588,2.3803,243.66,0.36714,20.803,0.57668,1.3306,0.35441,0.084644,2.5527,0.32307,7.4894,0.46107,7115.8,1.7871,0.04491,1.8201,0.15,0.45959,5.1588,0.062546,5.7436,5700.2,260.96,2.4059,5.9509,3537,1.6576,0.96847,1.0397,0.045877,500.8,0.1046,0.2585,1.7603,4,5.1141,0.46704,0.20258,0.096645,0.050101,0.14368,3.5052,1.4352,4.4085,1.1541,1.8035,0.21979,0.3942,0.82353,0.18609,-0.19289,4.9847,0.013942,0.45652,0.22095,0.54259,0.48471,2.5382,0.0045436,65.269,1.2116,1.5269,3.352,0.32595,4512.1,0.1642,4.1293,1.7019,-0.50033,0.89574,0.65615,-0.90869,0.43205,0.10649,0.067837,5.2357,-0.030755,-0.0013543,0.037782,0.67462,5.7997,0.47053,0.27894,743.84,"Q1"
"MT0004459450",2.6726,28.996,1.3145,1473800,0.28699,1.9835,0.23985,0.71,0.074113,6044.4,0.54493,28.753,-0.56013,5.2753,0.33256,0.028744,2.2796,399.11,0.52604,0,0.59745,0.45719,0.051654,0.021627,5.0498,0.46047,4.0644,0.14038,6743,0,0.024073,0,0,0.56165,3.6622,0.045835,3.8806,0,73.756,0,4.5706,619.19,0.71503,0.93159,0,0.028462,0,0.066176,0.14196,0,4,3.3056,0.50367,0.11539,0.14315,0.37934,0.20393,2.9221,0.6093,3.0819,0.18198,0.49884,0.42064,-1.9204,0,0.12454,-0.26561,1.6717,-0.22532,0,0.19895,0.78406,0.53925,2.0951,0.017708,0,0.20024,2.0224,1.1957,0.60956,5162.6,0.11857,1.3756,0.75925,-2.5035,0,-2.3621,-2.63,0.52089,0.38144,-1.3242,1.3586,-0.15941,0.023131,0,0.56422,5.5906,0.72217,-0.23473,0,"Q2"
"MT0004511265",2.1058,36.801,0.85135,1624500,0.38879,3.3384,0.2144,0.81802,0.13326,5996.4,0.53987,33.207,-0.60699,6.236,0.79814,0.050576,2.7734,617.6,0.53847,0,0.51603,0.67428,0.14871,0.024853,4.5147,0.45825,4.0064,0.2679,6872.1,0,0.037002,0,0,0.58393,3.5876,0.038745,3.8351,0,99.783,0,4.5323,867.73,1.0777,1.3974,0,0.040079,0,0.10755,0.20728,0,4,3.4003,0.39286,0.1181,0.12147,0.19862,0.16762,2.812,0.82958,3.0558,-0.63736,0.36581,0.35591,-1.7454,0,0.10563,-0.24142,2.3756,-0.15175,0,0.1982,0.66091,0.61141,1.3302,0.017251,0,0.25815,2.354,1.7149,0.55576,3816.6,0.17471,1.279,1.4,-1.712,0,-1.109,-3.221,0.58084,0.36526,-1.2749,1.8508,-0.36699,-0.32934,0,0.47778,4.2072,0.6719,-0.18357,0,"Q2"
"MT0004537445",2.9809,24.138,1.4892,1145800,0.85714,3.694,0.25746,0.90784,0.29259,4256.8,0.47079,23.239,2.3049,7.5687,1.2637,0.093429,4.3555,1203.5,0.50963,8.7506,0.088987,0.52544,0.50036,0.050878,1.5384,0.44986,4.821,0.48175,5395.8,2.1832,0.061578,2.2343,0.13793,0.5385,3.7778,0.063054,3.9977,4185.8,204.31,2.0625,5.2723,2296.8,1.7475,2.0961,1.1275,0.066429,832.04,0.18947,0.23286,2.3265,4,3.5296,0.39479,0.15622,0.10211,0.10515,0.14348,3.0409,1.6263,3.1909,0.078848,1.6295,0.33983,-0.33867,0.75,0.13599,-0.046282,3.8056,-0.12127,0.60027,0.20796,0.5093,0.55287,2.8268,0.0062271,64.721,2.2892,2.0033,2.0832,0.50735,3451.4,0.36278,2.0621,3.1733,0.20873,0.30435,0.3042,-0.031418,0.54033,0.23353,-0.97805,4.0559,-0.05579,-0.12587,0.048684,0.59935,4.9213,0.68229,-0.14408,714.04,"Q4"
"MT0004558461",3.9405,30.456,2.1768,1295800,0.42058,2.4224,0.18306,0.90247,0.10749,4821,0.48815,30.591,0.44522,6.5574,0.23279,0.03472,3.744,555.26,0.47616,27.04,0.18739,0.537,0.11761,0.022453,4.3141,0.46398,4.4486,0.23334,5757.7,1.5,0.033662,1.5,0.085714,0.53906,4.024,0.056264,4.1402,4490.7,94.084,1.5,4.5377,1218.3,0.86851,1.1312,0.73329,0.04822,256.23,0.081353,0.19109,1.5,5,3.9455,0.18185,0.14142,0.099772,0.26971,0.1915,3.0292,0.78395,3.2393,0.11143,1.7958,0.39591,-1.5017,0.16667,0.12482,-0.093122,2.0171,-0.092808,-0.13506,0.30379,0.76057,0.59227,1.8956,0.0075561,236.39,0.8638,1.6401,1.6246,0.51889,4020.6,0.14677,1.6106,1.1301,-2.1938,0.25191,-1.7411,-0.74574,0.54469,0.34943,-1.5961,3.6513,-0.097515,-0.13522,0.13178,0.69537,4.6005,0.6904,0.0061843,1467.8,"Q2"
"MT0004584067",6.0944,21.403,3.6349,319610,0.54535,4.1354,0.095759,1.1801,0.055497,4020.4,0.36763,21.467,1.5001,9.1613,0,0.044322,4.5362,491.62,0.38568,16.294,0,0.70007,0.147,0.046823,2.3744,0.42253,6.1742,0.39564,4797.3,2.3481,0.053989,2.6899,0.31707,0.4412,4.9763,0.058413,4.53,3521.8,115.08,9.4248,4.8218,1572.8,1.1234,0.89832,0.98824,0.04563,523.73,0.08418,0.2574,2.7288,7,4.4819,0.020077,0.16607,0.08497,0.12932,0.15817,3.2739,1.0553,3.8683,1.0862,1.0974,0.30702,-0.46177,0.5,0.16615,0.31034,2.4675,0.45974,2.7489,0.5676,0.67401,0.51868,0.33256,0.003234,109.08,1.9452,1.3236,2.4109,0.42375,3590.9,0.13298,2.6581,1.2395,-1.8154,0.11281,0.1816,-0.49803,0.50854,0.28133,-1.2821,4.8561,0.1244,0.053192,0.059644,0.88468,6.003,0.6289,0.60395,1770.6,"Q4"
"MT0004609722",4.8959,15.374,2.2683,636590,0.35284,3.0075,0.16047,1.0239,0.08063,5156.3,0.2471,19.033,0.92845,8.0427,0.23279,0.034347,2.9152,291.01,0.25967,20.876,0.3586,0.85156,0.12165,0.073001,2.4079,0.36889,7.0117,0.30063,5688.1,1.4952,0.044737,2.9379,0.19048,0.34685,5.7287,0.04876,5.9211,4103.6,136.95,1.7005,5.2244,1136.3,1.1793,1.3641,0.82046,0.042379,408.31,0.12755,0.24948,3.8061,7,4.8141,0.1973,0.15939,0.0787,0.19758,0.1708,3.6897,0.94816,3.9721,0.71163,2.594,0.31848,-0.010854,0.46667,0.16824,0.5018,3.2914,0.48642,0.64602,0.53225,0.69118,0.43709,1.7626,0.0051807,134.35,1.3071,1.5155,3.9468,0.51586,4704.9,0.1207,2.543,0.87644,-1.0233,0.45957,-0.43062,0.14507,0.39912,0.18926,-0.75457,2.6501,0.4924,0.41818,0.11947,0.87979,7.6715,0.63656,0.69526,1289.3,"Q3"
"MT0004645468",1.135,37.437,0.7332,2414100,0.17685,1.3848,0.29058,0.63667,0.098828,6435.3,0.55991,36.278,-1.049,3.6771,0.63186,0.020499,2.3541,276.17,0.58212,0,0.5603,0.35461,0.052532,0.021612,5.9862,0.47259,3.8155,0.11751,7170.5,0,0.027935,0,0,0.60932,3.2772,0.040236,3.4368,0,108.34,0,5.4642,904.88,0.77348,0.96487,0,0.032308,0,0.058599,0.14452,0,3,3.2208,0.53456,0.11683,0.16649,0.50381,0.21113,2.7201,0.68497,2.7773,1.3353,0.066512,0.47487,-2.396,0,0.099713,-0.24803,2.3127,-0.22381,0,0.15093,0.83978,0.64005,0.56535,0.016294,0,-0.15794,1.7356,1.1894,0.62372,6067.6,0.21337,1.1607,0.75036,-2.8775,0,-4.1552,-2.0536,0.64647,0.39876,-1.3097,1.8615,-0.38349,-0.42622,0,0.38775,4.1026,0.74263,-0.21697,0,"Q2"
"MT0004669603",5.5792,18.289,2.4581,416040,0.42569,3.363,0.13104,0.92319,0.056155,5486.6,0.42036,14.088,1.1183,8.7502,0.2993,0.03362,2.99,313.67,0.35921,11.694,0.41335,0.88448,0.15142,0.055422,2.642,0.38179,5.7116,0.31315,6380.3,2.7062,0.041404,2.1937,0.10909,0.4148,5.0003,0.054375,5.6065,3997.5,132.12,1.6607,5.0805,1095.3,1.2605,1.597,1.1784,0.051868,840.57,0.085694,0.23175,1.3796,6,4.9724,0.11931,0.17442,0.10152,0.15404,0.19348,3.5786,1.0355,4.3097,0.66431,3.1593,0.29615,-0.6184,0.5,0.15992,0.28025,2.8816,0.55059,0.35131,0.29296,0.69416,0.46701,1.8623,0.0046091,9.1928,0.90314,2.1377,2.6253,0.4281,3997.7,0.12305,2.639,1.4272,-1.1407,0.47902,0.045424,-0.41442,0.45474,0.24086,-1.2371,2.0025,0.18176,0.22638,0.012314,0.80122,5.7983,0.59038,0.40487,224.24,"Q1"
